Number,Date,Flight number,From,To,Distance,Dep time,Arr time,Duration,Airline,Aircraft,Registration,Seat number
388,04/23/2016,1597,Minneapolis / St Paul (MSP/KMSP),Chicago / O'Hare (ORD/KORD),334,12:36:00,13:26:00,00:50:00,American Airlines (AA/AAL),McDonnell Douglas MD-82 (MD82),N485AA,4A
387,04/23/2016,1405,Chicago / O'Hare (ORD/KORD),Minneapolis / St Paul (MSP/KMSP),334,07:23:00,08:25:00,01:02:00,American Airlines (AA/AAL),McDonnell Douglas MD-83 (MD83),N962TW,4A
386,04/22/2016,3257,Buffalo / Greater Buffalo (BUF/KBUF),Chicago / O'Hare (ORD/KORD),473,18:17:00,18:28:00,01:11:00,Envoy Air (MQ/ENY),Embraer ERJ-145 (E145),N932AE,2A
385,04/17/2016,3377,Chicago / O'Hare (ORD/KORD),Buffalo / Greater Buffalo (BUF/KBUF),473,12:16:00,14:21:00,01:05:00,Envoy Air (MQ/ENY),Bombardier CRJ-700 (CRJ7),N519AE,8A
384,04/16/2016,1097,Philadelphia / Philadelphia (PHL/KPHL),Chicago / O'Hare (ORD/KORD),677,17:06:00,17:41:00,01:35:00,American Airlines (AA/AAL),Boeing 737-800 (B738),N880NN,13F
383,04/15/2016,2499,Chicago / O'Hare (ORD/KORD),Philadelphia / Philadelphia (PHL/KPHL),677,08:53:00,11:45:00,01:52:00,American Airlines (AA/AAL),Boeing 737-800 (B738),N950AN,10D
382,04/09/2016,1994,Philadelphia / Philadelphia (PHL/KPHL),Chicago / O'Hare (ORD/KORD),677,14:38:00,15:25:00,01:47:00,American Airlines (AA/AAL),Airbus A321-200 (A321),N918US,8C
381,04/08/2016,1141,Chicago / O'Hare (ORD/KORD),Philadelphia / Philadelphia (PHL/KPHL),677,18:15:00,20:43:00,01:28:00,United Airlines (UA/UAL),Boeing 737-900 (B739),N81449,34A
380,04/05/2016,1611,Indianapolis / Indianapolis (IND/KIND),Chicago / O'Hare (ORD/KORD),178,19:23:00,19:14:00,00:51:00,American Airlines (AA/AAL),McDonnell Douglas MD-82 (MD82),N472AA,5F
379,04/05/2016,1611,Chicago / O'Hare (ORD/KORD),Indianapolis / Indianapolis (IND/KIND),178,16:47:00,18:19:00,00:32:00,American Airlines (AA/AAL),McDonnell Douglas MD-82 (MD82),N472AA,5A
378,03/29/2016,1011,Boston / Logan (BOS/KBOS),Chicago / O'Hare (ORD/KORD),865,17:01:00,18:13:00,02:12:00,JetBlue Airways (B6/JBU),Embraer ERJ-190 (E190),N374JB,3A
377,03/29/2016,1012,Chicago / O'Hare (ORD/KORD),Boston / Logan (BOS/KBOS),865,09:41:00,12:25:00,01:44:00,JetBlue Airways (B6/JBU),Embraer ERJ-190 (E190),N179JB,3A
376,03/26/2016,635,Philadelphia / Philadelphia (PHL/KPHL),Chicago / O'Hare (ORD/KORD),677,16:42:00,17:35:00,01:53:00,American Airlines (AA/AAL),Embraer ERJ-190 (E190),N967UW,21A
375,03/25/2016,854,Chicago / O'Hare (ORD/KORD),Philadelphia / Philadelphia (PHL/KPHL),677,19:04:00,21:31:00,01:27:00,American Airlines (AA/AAL),Airbus A321-200 (A321),N556UW,8A
374,03/12/2016,392,Atlanta / Hartsfield-Jackson (ATL/KATL),Chicago / O'Hare (ORD/KORD),607,15:29:00,15:55:00,01:26:00,Delta Air Lines (DL/DAL),McDonnell Douglas MD-88 (MD88),N915DL,2D
373,03/12/2016,2251,Charlotte / Douglas (CLT/KCLT),Atlanta / Hartsfield-Jackson (ATL/KATL),227,12:27:00,13:07:00,00:40:00,Delta Air Lines (DL/DAL),McDonnell Douglas MD-88 (MD88),N929DL,14E
372,03/11/2016,4507,Cincinnati / Northern Kentucky Int (CVG/KCVG),Charlotte / Douglas (CLT/KCLT),335,09:44:00,10:46:00,01:02:00,SkyWest Airlines (OO/SKW),Bombardier CRJ-200 (CRJ2),N429SW,2A
371,03/11/2016,3567,Chicago / O'Hare (ORD/KORD),Cincinnati / Northern Kentucky Int (CVG/KCVG),265,06:49:00,08:33:00,00:44:00,SkyWest Airlines (OO/SKW),Bombardier CRJ-900 (CRJ9),N803SK,4A
370,03/08/2016,4809,Atlanta / Hartsfield-Jackson (ATL/KATL),Chicago / O'Hare (ORD/KORD),607,21:28:00,21:56:00,01:28:00,GoJet Airlines (G7/GJS),Bombardier CRJ-700 (CRJ7),N157GJ,18A
369,03/08/2016,2042,Chicago / O'Hare (ORD/KORD),Atlanta / Hartsfield-Jackson (ATL/KATL),607,16:03:00,18:27:00,01:24:00,United Airlines (UA/UAL),Boeing 737-900 (B739),N39415,14A
368,03/05/2016,1347,Atlanta / Hartsfield-Jackson (ATL/KATL),Chicago / O'Hare (ORD/KORD),607,18:33:00,19:18:00,01:45:00,Delta Air Lines (DL/DAL),Boeing 717-200 (B712),N932AT,1A
