Number,Date,Flight number,From,To,Distance,Dep time,Arr time,Duration,Airline,Aircraft,Registration,Seat number
1123,05/30/2025,2348,Minneapolis / St Paul (MSP/KMSP),Madison / Dane Co Regl-Truax Fld (MSN/KMSN),228,23:22:00,00:03:00,00:41:00,Delta Air Lines (DL/DAL),Airbus A220-300 (BCS3),N329DU,26A
1122,05/30/2025,1303,Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW),Minneapolis / St Paul (MSP/KMSP),528,20:01:00,20:16:00,01:15:00,Delta Air Lines (DL/DAL),Airbus A350-900 (A359),N511DN,50J
1121,05/30/2025,3919,Kalamazoo / Battle Creek (AZO/KAZO),Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW),113,18:16:00,18:41:00,00:25:00,SkyWest Airlines (OO/SKW),Bombardier CRJ-900 (CRJ9),N831SK,16A
1120,05/30/2025,5866,Chicago / O'Hare (ORD/KORD),Kalamazoo / Battle Creek (AZO/KAZO),122,10:19:00,11:49:00,00:30:00,Piedmont Airlines (US/PDT),Embraer ERJ-145 (E145),N688AE,7A
1119,05/30/2025,3720,Madison / Dane Co Regl-Truax Fld (MSN/KMSN),Chicago / O'Hare (ORD/KORD),109,05:08:00,05:43:00,00:35:00,Envoy Air (MQ/ENY),Embraer ERJ-170 (E170),N794JH,13C
1118,05/10/2025,1234,Dallas-Ft Worth / Dallas-Ft Worth (DFW/KDFW),Milwaukee / Gen Mitchell (MKE/KMKE),854,21:28:00,23:20:00,01:52:00,American Airlines (AA/AAL),Airbus A320-200 (A320),N658AW,16A
1117,05/10/2025,2244,Nashville / Nashville (BNA/KBNA),Dallas-Ft Worth / Dallas-Ft Worth (DFW/KDFW),631,17:33:00,19:00:00,01:27:00,American Airlines (AA/AAL),Boeing 737-800 (B738),N917NN,21E
1116,05/10/2025,5499,Washington / Washington National (DCA/KDCA),Nashville / Nashville (BNA/KBNA),561,13:25:00,13:58:00,01:33:00,PSA Airlines (OH/JIA),Bombardier CRJ-700 (CRJ7),N516AE,18F
1115,05/10/2025,5646,Milwaukee / Gen Mitchell (MKE/KMKE),Washington / Washington National (DCA/KDCA),634,06:33:00,09:00:00,01:27:00,PSA Airlines (OH/JIA),Bombardier CRJ-700 (CRJ7),N524AE,12A
1114,06/12/2024,3071,Kirksville / Kirksville Municipal Airport (IRK/KIRK),Chicago / O'Hare (ORD/KORD),275,15:48:00,16:52:00,01:04:00,Corporate Flight Management (LF/VTE),Bombardier CRJ-200 (CRJ2),N874AS,8A
1113,06/12/2024,3068,Chicago / O'Hare (ORD/KORD),Kirksville / Kirksville Municipal Airport (IRK/KIRK),275,10:12:00,10:58:00,00:46:00,Corporate Flight Management (LF/VTE),Bombardier CRJ-200 (CRJ2),N874AS,8A
1112,06/01/2024,5326,Charlotte / Douglas (CLT/KCLT),Milwaukee / Gen Mitchell (MKE/KMKE),651,17:32:00,18:03:00,01:31:00,PSA Airlines (OH/JIA),Bombardier CRJ-900 (CRJ9),N566NN,16F
1111,06/01/2024,1535,Cleveland / Hopkins (CLE/KCLE),Charlotte / Douglas (CLT/KCLT),431,14:07:00,15:14:00,01:07:00,American Airlines (AA/AAL),Boeing 737-800 (B738),N982NN,12D
1110,06/01/2024,3910,Chicago / O'Hare (ORD/KORD),Cleveland / Hopkins (CLE/KCLE),316,07:35:00,09:23:00,00:48:00,Envoy Air (MQ/ENY),Embraer ERJ-170 (E170),N771JV,19A
1109,06/01/2024,6159,Milwaukee / Gen Mitchell (MKE/KMKE),Chicago / O'Hare (ORD/KORD),67,05:15:00,05:37:00,00:22:00,Air Wisconsin (ZW/AWI),Bombardier CRJ-200 (CRJ2),N471ZW,10B
1108,11/23/2023,1396,Chicago / O'Hare (ORD/KORD),Madison / Dane Co Regl-Truax Fld (MSN/KMSN),109,14:05:00,14:33:00,00:28:00,United Airlines (UA/UAL),Airbus A320-200 (A320),N412UA,27A
1107,11/23/2023,5451,Lexington / Blue Grass (LEX/KLEX),Chicago / O'Hare (ORD/KORD),324,12:01:00,12:00:00,00:59:00,SkyWest Airlines (OO/SKW),Embraer ERJ-175 (E175),N161SY,12A
1106,11/23/2023,4708,Chicago / O'Hare (ORD/KORD),Lexington / Blue Grass (LEX/KLEX),324,08:06:00,09:59:00,00:53:00,SkyWest Airlines (OO/SKW),Embraer ERJ-175 (E175),N103SY,17D
1105,11/23/2023,691,Madison / Dane Co Regl-Truax Fld (MSN/KMSN),Chicago / O'Hare (ORD/KORD),109,06:44:00,07:15:00,00:31:00,United Airlines (UA/UAL),Airbus A320-200 (A320),N436UA,27F
1104,09/16/2023,6207,Chicago / O'Hare (ORD/KORD),Milwaukee / Gen Mitchell (MKE/KMKE),67,15:30:00,15:48:00,00:18:00,Air Wisconsin (ZW/AWI),Bombardier CRJ-200 (CRJ2),N426AW,7D
1103,09/16/2023,6205,Waterloo / Waterloo Regional (ALO/KALO),Chicago / O'Hare (ORD/KORD),233,11:33:00,12:20:00,00:47:00,Air Wisconsin (ZW/AWI),Bombardier CRJ-200 (CRJ2),N413AW,6D
1102,09/16/2023,6233,Chicago / O'Hare (ORD/KORD),Waterloo / Waterloo Regional (ALO/KALO),233,09:55:00,10:35:00,00:40:00,Air Wisconsin (ZW/AWI),Bombardier CRJ-200 (CRJ2),N413AW,2D
1101,09/16/2023,6144,Milwaukee / Gen Mitchell (MKE/KMKE),Chicago / O'Hare (ORD/KORD),67,08:33:00,08:58:00,00:25:00,Air Wisconsin (ZW/AWI),Bombardier CRJ-200 (CRJ2),N451AW,12D
1100,08/09/2023,4760,Chicago / O'Hare (ORD/KORD),Appleton / Outagamie (ATW/KATW),161,09:28:00,10:03:00,00:35:00,SkyWest Airlines (OO/SKW),Bombardier CRJ-200 (CRJ2),N969SW,6B
1099,08/09/2023,5957,Appleton / Outagamie (ATW/KATW),Chicago / O'Hare (ORD/KORD),161,06:23:00,07:00:00,00:37:00,SkyWest Airlines (OO/SKW),Embraer ERJ-175 (E175),N139SY,16A
1098,08/02/2023,5580,Chicago / O'Hare (ORD/KORD),Madison / Dane Co Regl-Truax Fld (MSN/KMSN),109,11:18:00,11:44:00,00:26:00,SkyWest Airlines (OO/SKW),Embraer ERJ-175 (E175),N119SY,17B
1097,08/02/2023,691,Madison / Dane Co Regl-Truax Fld (MSN/KMSN),Chicago / O'Hare (ORD/KORD),109,06:59:00,07:28:00,00:29:00,United Airlines (UA/UAL),Boeing 737-800 (B738),N73251,23A
1096,08/01/2023,5416,Chicago / O'Hare (ORD/KORD),Milwaukee / Gen Mitchell (MKE/KMKE),67,10:54:00,11:16:00,00:22:00,SkyWest Airlines (OO/SKW),Embraer ERJ-175 (E175),N132SY,19D
1095,08/01/2023,4783,Milwaukee / Gen Mitchell (MKE/KMKE),Chicago / O'Hare (ORD/KORD),67,07:02:00,07:33:00,00:31:00,SkyWest Airlines (OO/SKW),Embraer ERJ-175 (E175),N118SY,17A
1094,07/07/2023,3509,Chicago / O'Hare (ORD/KORD),Milwaukee / Gen Mitchell (MKE/KMKE),67,17:17:00,17:34:00,00:17:00,Envoy Air (MQ/ENY),Embraer ERJ-170 (E170),N763CC,20C
1093,07/07/2023,4836,Knoxville / McGhee Tyson (TYS/KTYS),Chicago / O'Hare (ORD/KORD),476,13:28:00,13:47:00,01:19:00,SkyWest Airlines (OO/SKW),Bombardier CRJ-700 (CRJ7),N742SK,15B
1092,07/07/2023,4836,Chicago / O'Hare (ORD/KORD),Knoxville / McGhee Tyson (TYS/KTYS),476,10:14:00,12:22:00,01:08:00,SkyWest Airlines (OO/SKW),Bombardier CRJ-700 (CRJ7),N742SK,7A
1091,07/07/2023,6144,Milwaukee / Gen Mitchell (MKE/KMKE),Chicago / O'Hare (ORD/KORD),67,08:12:00,08:37:00,00:25:00,Air Wisconsin (ZW/AWI),Bombardier CRJ-200 (CRJ2),N469AW,11B
1090,06/17/2023,4115,Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW),Appleton / Outagamie (ATW/KATW),296,21:41:00,21:29:00,00:48:00,SkyWest Airlines (OO/SKW),Bombardier CRJ-900 (CRJ9),N822SK,13C
1089,06/17/2023,589,Chicago / O'Hare (ORD/KORD),Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW),234,18:03:00,19:49:00,00:46:00,Delta Air Lines (DL/DAL),Boeing 717-200 (B712),N933AT,21C
1088,06/17/2023,1501,Minneapolis / St Paul (MSP/KMSP),Chicago / O'Hare (ORD/KORD),334,10:14:00,11:08:00,00:54:00,Delta Air Lines (DL/DAL),Airbus A220-300 (BCS3),N303DU,31E
1087,06/17/2023,3763,Appleton / Outagamie (ATW/KATW),Minneapolis / St Paul (MSP/KMSP),236,06:38:00,07:28:00,00:50:00,SkyWest Airlines (OO/SKW),Bombardier CRJ-900 (CRJ9),N548CA,16D
1086,06/09/2023,558,Minneapolis / St Paul (MSP/KMSP),Chippewa Valley / Chippewa Valley (EAU/KEAU),85,15:34:00,15:58:00,00:24:00,Sun Country (SY/SCX),Boeing 737-800 (B738),N834SY,20A
1085,06/09/2023,553,Chippewa Valley / Chippewa Valley (EAU/KEAU),Minneapolis / St Paul (MSP/KMSP),85,11:24:00,11:46:00,00:22:00,Sun Country (SY/SCX),Boeing 737-800 (B738),N831SY,23F
1084,06/03/2023,1804,Charlotte / Douglas (CLT/KCLT),Milwaukee / Gen Mitchell (MKE/KMKE),652,17:28:00,17:56:00,01:28:00,American Airlines (AA/AAL),Airbus A320-200 (A320),N649AW,6C
1083,06/03/2023,5990,Columbia / Columbia Metropolitan (CAE/KCAE),Charlotte / Douglas (CLT/KCLT),89,14:44:00,15:11:00,00:27:00,Piedmont Airlines (US/PDT),Embraer ERJ-145 (E145),N655AE,3C
1082,06/03/2023,2184,Atlanta / Hartsfield-Jackson (ATL/KATL),Columbia / Columbia Metropolitan (CAE/KCAE),191,12:43:00,13:15:00,00:32:00,Delta Air Lines (DL/DAL),Boeing 717-200 (B712),N921AT,21B
1081,06/03/2023,2096,Milwaukee / Gen Mitchell (MKE/KMKE),Atlanta / Hartsfield-Jackson (ATL/KATL),671,07:16:00,09:45:00,01:29:00,Delta Air Lines (DL/DAL),Boeing 757-200 (B752),N675DL,39A
1080,05/31/2023,2960,Charlotte / Douglas (CLT/KCLT),Milwaukee / Gen Mitchell (MKE/KMKE),652,23:01:00,23:30:00,01:29:00,American Airlines (AA/AAL),Airbus A321-200 (A321),N568UW,16D
1079,05/31/2023,1535,Cleveland / Hopkins (CLE/KCLE),Charlotte / Douglas (CLT/KCLT),432,17:35:00,18:43:00,01:08:00,American Airlines (AA/AAL),Boeing 737-800 (B738),N845NN,30F
1078,05/31/2023,801,Philadelphia / Philadelphia (PHL/KPHL),Cleveland / Hopkins (CLE/KCLE),363,14:02:00,15:04:00,01:02:00,American Airlines (AA/AAL),Airbus A319-100 (A319),N819AW,26F
1077,05/31/2023,637,Chicago / O'Hare (ORD/KORD),Philadelphia / Philadelphia (PHL/KPHL),677,10:00:00,12:35:00,01:35:00,American Airlines (AA/AAL),Boeing 737-800 (B738),N927AN,11F
1076,05/31/2023,6144,Milwaukee / Gen Mitchell (MKE/KMKE),Chicago / O'Hare (ORD/KORD),67,07:53:00,08:19:00,00:26:00,Air Wisconsin (ZW/AWI),Bombardier CRJ-200 (CRJ2),N466AW,7A
1075,05/28/2023,6199,Chicago / O'Hare (ORD/KORD),Madison / Dane Co Regl-Truax Fld (MSN/KMSN),109,16:33:00,17:01:00,00:28:00,Air Wisconsin (ZW/AWI),Bombardier CRJ-200 (CRJ2),N455AW,13A
1074,05/28/2023,4014,Green Bay / Austin Straubel (GRB/KGRB),Chicago / O'Hare (ORD/KORD),174,14:53:00,15:33:00,00:40:00,Envoy Air (MQ/ENY),Embraer ERJ-170 (E170),N760MQ,12A
1073,05/28/2023,1850,Madison / Dane Co Regl-Truax Fld (MSN/KMSN),Green Bay / Austin Straubel (GRB/KGRB),111,11:45:00,12:12:00,00:27:00,Sun Country (SY/SCX),Boeing 737-800 (B738),N816SY,23C
1072,05/20/2023,2960,Charlotte / Douglas (CLT/KCLT),Milwaukee / Gen Mitchell (MKE/KMKE),652,23:09:00,23:45:00,01:36:00,American Airlines (AA/AAL),Airbus A319-100 (A319),N9006,16F
1071,05/20/2023,5961,Columbia / Columbia Metropolitan (CAE/KCAE),Charlotte / Douglas (CLT/KCLT),89,18:31:00,19:02:00,00:31:00,Piedmont Airlines (US/PDT),Embraer ERJ-145 (E145),N647AE,17B
1070,05/20/2023,5063,Charlotte / Douglas (CLT/KCLT),Columbia / Columbia Metropolitan (CAE/KCAE),89,11:36:00,12:02:00,00:26:00,PSA Airlines (OH/JIA),Bombardier CRJ-900 (CRJ9),N586NN,8A
1069,05/20/2023,1272,Milwaukee / Gen Mitchell (MKE/KMKE),Charlotte / Douglas (CLT/KCLT),652,07:07:00,09:40:00,01:33:00,American Airlines (AA/AAL),Airbus A321-200 (A321),N557UW,15C
1068,05/17/2023,1560,Nashville / Nashville (BNA/KBNA),Appleton / Outagamie (ATW/KATW),571,19:24:00,20:39:00,01:15:00,Allegiant Air (G4/AAY),Airbus A320-200 (A320),N237NV,23E
1067,05/17/2023,1559,Appleton / Outagamie (ATW/KATW),Nashville / Nashville (BNA/KBNA),571,17:00:00,18:21:00,01:21:00,Allegiant Air (G4/AAY),Airbus A320-200 (A320),N237NV,11C
1066,04/29/2023,6136,Chicago / O'Hare (ORD/KORD),Madison / Dane Co Regl-Truax Fld (MSN/KMSN),109,13:50:00,14:20:00,00:30:00,Piedmont Airlines (US/PDT),Embraer ERJ-145 (E145),N918AE,17A
1065,04/29/2023,3036,Salt Lake City / Salt Lake City (SLC/KSLC),Chicago / O'Hare (ORD/KORD),1248,08:19:00,12:04:00,02:45:00,SkyWest Airlines (OO/SKW),Bombardier CRJ-700 (CRJ7),N750EV,15D
1064,04/27/2023,2976,Phoenix / Sky Harbor (PHX/KPHX),Salt Lake City / Salt Lake City (SLC/KSLC),509,20:37:00,22:51:00,01:14:00,American Airlines (AA/AAL),Airbus A321-200 (A321),N567UW,18A
1063,04/27/2023,2826,Chicago / O'Hare (ORD/KORD),Phoenix / Sky Harbor (PHX/KPHX),1439,17:17:00,18:23:00,03:06:00,American Airlines (AA/AAL),Airbus A321-200 (A321),N582UW,30A
1062,04/27/2023,6125,Madison / Dane Co Regl-Truax Fld (MSN/KMSN),Chicago / O'Hare (ORD/KORD),109,15:12:00,15:38:00,00:26:00,Piedmont Airlines (US/PDT),Embraer ERJ-145 (E145),N642AE,18C
1061,10/01/2022,5085,Paducah / Barkley (PAH/KPAH),Chicago / O'Hare (ORD/KORD),343,18:00:00,19:06:00,01:06:00,SkyWest Airlines (OO/SKW),Bombardier CRJ-200 (CRJ2),N937EV,9D
1060,10/01/2022,5085,Cape Girardeau / Cape Girardeau (CGI/KCGI),Paducah / Barkley (PAH/KPAH),45,16:55:00,17:07:00,00:12:00,SkyWest Airlines (OO/SKW),Bombardier CRJ-200 (CRJ2),N937EV,9D
1059,10/01/2022,5085,Chicago / O'Hare (ORD/KORD),Cape Girardeau / Cape Girardeau (CGI/KCGI),341,15:14:00,16:06:00,00:52:00,SkyWest Airlines (OO/SKW),Bombardier CRJ-200 (CRJ2),N937EV,13A
1058,09/24/2022,4291,Iron Mountain / Ford (IMT/KIMT),Rhinelander / Oneida (RHI/KRHI),67,18:02:00,18:24:00,00:22:00,SkyWest Airlines (OO/SKW),Bombardier CRJ-200 (CRJ2),N878AS,9D
1057,09/24/2022,4299,Rhinelander / Oneida (RHI/KRHI),Iron Mountain / Ford (IMT/KIMT),67,10:21:00,10:38:00,00:17:00,SkyWest Airlines (OO/SKW),Bombardier CRJ-200 (CRJ2),N446SW,10D
1056,03/17/2022,2620,Chicago / O'Hare (ORD/KORD),Madison / Dane Co Regl-Truax Fld (MSN/KMSN),109,21:30:00,21:54:00,00:24:00,United Airlines (UA/UAL),Boeing 737-800 (B738),N76254,27A
1055,03/17/2022,5046,Mason City / Mason City Municipal Airport (MCW/KMCW),Chicago / O'Hare (ORD/KORD),288,18:23:00,19:13:00,00:50:00,SkyWest Airlines (OO/SKW),Bombardier CRJ-200 (CRJ2),N923SW,1A
1054,03/17/2022,5136,Chicago / O'Hare (ORD/KORD),Mason City / Mason City Municipal Airport (MCW/KMCW),288,10:44:00,11:36:00,00:52:00,SkyWest Airlines (OO/SKW),Bombardier CRJ-200 (CRJ2),N903EV,12D
1053,03/17/2022,2360,Madison / Dane Co Regl-Truax Fld (MSN/KMSN),Chicago / O'Hare (ORD/KORD),109,06:52:00,07:25:00,00:33:00,United Airlines (UA/UAL),Boeing 737-800 (B738),N76288,26A
1052,03/15/2022,5112,Chicago / O'Hare (ORD/KORD),Chippewa Valley / Chippewa Valley (EAU/KEAU),269,20:51:00,21:38:00,00:47:00,SkyWest Airlines (OO/SKW),Bombardier CRJ-200 (CRJ2),N466SW,4A
1051,03/15/2022,3453,Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW),Chicago / O'Hare (ORD/KORD),234,17:37:00,17:29:00,00:52:00,Republic Airlines (YX/RPA),Embraer ERJ-170 (E170),N634RW,15A
1050,03/15/2022,5315,Chicago / O'Hare (ORD/KORD),Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW),234,11:15:00,13:05:00,00:50:00,SkyWest Airlines (OO/SKW),Embraer ERJ-175 (E175),N157SY,9D
1049,03/15/2022,5075,Chippewa Valley / Chippewa Valley (EAU/KEAU),Chicago / O'Hare (ORD/KORD),269,06:49:00,07:36:00,00:47:00,SkyWest Airlines (OO/SKW),Bombardier CRJ-200 (CRJ2),N679SA,7A
1048,11/25/2021,4110,Minneapolis / St Paul (MSP/KMSP),Rochester / Rochester (RST/KRST),76,16:24:00,16:42:00,00:18:00,SkyWest Airlines (OO/SKW),Bombardier CRJ-900 (CRJ9),N679CA,17D
1047,11/25/2021,2275,Milwaukee / Gen Mitchell (MKE/KMKE),Minneapolis / St Paul (MSP/KMSP),297,12:46:00,13:35:00,00:49:00,Delta Air Lines (DL/DAL),Airbus A321-200 (A321),N123DW,24A
1046,11/25/2021,1536,Minneapolis / St Paul (MSP/KMSP),Milwaukee / Gen Mitchell (MKE/KMKE),297,08:11:00,09:01:00,00:50:00,Delta Air Lines (DL/DAL),Airbus A319-100 (A319),N360NB,23A
1045,11/25/2021,4163,Rochester / Rochester (RST/KRST),Minneapolis / St Paul (MSP/KMSP),76,06:20:00,06:44:00,00:24:00,SkyWest Airlines (OO/SKW),Bombardier CRJ-900 (CRJ9),N825SK,12D
1044,11/16/2021,4301,Minneapolis / St Paul (MSP/KMSP),La Crosse / La Crosse Municipal (LSE/KLSE),119,11:20:00,11:44:00,00:24:00,SkyWest Airlines (OO/SKW),Bombardier CRJ-200 (CRJ2),N885AS,11A
1043,11/16/2021,1283,Chicago / O'Hare (ORD/KORD),Minneapolis / St Paul (MSP/KMSP),334,09:13:00,10:19:00,01:06:00,Delta Air Lines (DL/DAL),Boeing 717-200 (B712),N938AT,23E
1042,11/16/2021,3929,La Crosse / La Crosse Municipal (LSE/KLSE),Chicago / O'Hare (ORD/KORD),215,05:58:00,06:37:00,00:39:00,Envoy Air (MQ/ENY),Embraer ERJ-145 (E145),N918AE,17C
1041,10/26/2021,5115,Ironwood / Ironwood Gogebic Iron County Airport (IWD/KIWD),Minneapolis / St Paul (MSP/KMSP),188,14:52:00,15:29:00,00:37:00,Key Lime Air (KG/LYM),Dornier 328JET (J328),N394DC,9C
1040,10/26/2021,5111,Minneapolis / St Paul (MSP/KMSP),Ironwood / Ironwood Gogebic Iron County Airport (IWD/KIWD),188,13:23:00,13:56:00,00:33:00,Key Lime Air (KG/LYM),Dornier 328JET (J328),N394DC,9C
1039,10/17/2021,216,Asheville / Asheville Regional (AVL/KAVL),Minneapolis / St Paul (MSP/KMSP),862,22:05:00,23:15:00,02:10:00,Sun Country (SY/SCX),Boeing 737-800 (B738),N833SY,30F
1038,10/17/2021,215,Minneapolis / St Paul (MSP/KMSP),Asheville / Asheville Regional (AVL/KAVL),862,17:47:00,20:32:00,01:45:00,Sun Country (SY/SCX),Boeing 737-800 (B738),N833SY,19A
1037,09/11/2021,1962,Chicago / O'Hare (ORD/KORD),Minneapolis / St Paul (MSP/KMSP),334,15:58:00,16:55:00,00:57:00,United Airlines (UA/UAL),Boeing 737-700 (B737),N23708,27A
1036,09/11/2021,3514,Minneapolis / St Paul (MSP/KMSP),Chicago / O'Hare (ORD/KORD),334,13:07:00,14:06:00,00:59:00,Republic Airlines (YX/RPA),Embraer ERJ-170 (E170),N648RW,24A
1035,09/11/2021,2953,Chicago / O'Hare (ORD/KORD),Minneapolis / St Paul (MSP/KMSP),334,10:21:00,11:19:00,00:58:00,Delta Air Lines (DL/DAL),Airbus A220-100 (BCS1),N116DU,22E
1034,09/11/2021,2953,Minneapolis / St Paul (MSP/KMSP),Chicago / O'Hare (ORD/KORD),334,07:52:00,08:45:00,00:53:00,Delta Air Lines (DL/DAL),Airbus A220-100 (BCS1),N116DU,23E
1033,08/28/2021,4491,Chicago / O'Hare (ORD/KORD),Dubuque / Dubuque Regional Airport (DBQ/KDBQ),146,11:50:00,12:21:00,00:31:00,Envoy Air (MQ/ENY),Embraer ERJ-145 (E145),N909AE,17A
1032,08/28/2021,3237,Indianapolis / Indianapolis (IND/KIND),Chicago / O'Hare (ORD/KORD),178,10:38:00,10:17:00,00:39:00,SkyWest Airlines (OO/SKW),Bombardier CRJ-700 (CRJ7),N611SK,16D
1031,08/28/2021,3237,Chicago / O'Hare (ORD/KORD),Indianapolis / Indianapolis (IND/KIND),178,08:06:00,09:39:00,00:33:00,SkyWest Airlines (OO/SKW),Bombardier CRJ-700 (CRJ7),N611SK,16D
1030,08/28/2021,4107,Dubuque / Dubuque Regional Airport (DBQ/KDBQ),Chicago / O'Hare (ORD/KORD),146,06:01:00,06:39:00,00:38:00,Envoy Air (MQ/ENY),Embraer ERJ-145 (E145),N918AE,17A
1029,08/20/2021,278,Indianapolis / Indianapolis (IND/KIND),Minneapolis / St Paul (MSP/KMSP),503,14:14:00,14:37:00,01:23:00,Sun Country (SY/SCX),Boeing 737-800 (B738),N826SY,13C
1028,08/20/2021,277,Minneapolis / St Paul (MSP/KMSP),Indianapolis / Indianapolis (IND/KIND),503,10:34:00,12:41:00,01:07:00,Sun Country (SY/SCX),Boeing 737-800 (B738),N826SY,12F
1027,08/17/2021,5168,Chicago / O'Hare (ORD/KORD),Chippewa Valley / Chippewa Valley (EAU/KEAU),269,21:27:00,22:13:00,00:46:00,SkyWest Airlines (OO/SKW),Bombardier CRJ-200 (CRJ2),N916EV,2D
1026,08/17/2021,249,Nashville / Nashville (BNA/KBNA),Chicago / O'Hare (ORD/KORD),410,17:21:00,18:37:00,01:16:00,United Airlines (UA/UAL),Airbus A319-100 (A319),N846UA,23A
1025,08/17/2021,1744,Chicago / O'Hare (ORD/KORD),Nashville / Nashville (BNA/KBNA),410,11:23:00,12:23:00,01:00:00,United Airlines (UA/UAL),Airbus A320-200 (A320),N418UA,31F
1024,08/17/2021,5075,Chippewa Valley / Chippewa Valley (EAU/KEAU),Chicago / O'Hare (ORD/KORD),269,06:11:00,06:56:00,00:45:00,SkyWest Airlines (OO/SKW),Bombardier CRJ-200 (CRJ2),N908EV,4A
1023,08/16/2021,5112,Thief River Falls / Thief River Falls Regional (TVF/KTVF),Minneapolis / St Paul (MSP/KMSP),262,13:51:00,14:40:00,00:49:00,Key Lime Air (KG/LYM),Dornier 328JET (J328),N394DC,10A
1022,08/16/2021,5110,Minneapolis / St Paul (MSP/KMSP),Thief River Falls / Thief River Falls Regional (TVF/KTVF),262,10:58:00,11:42:00,00:44:00,Key Lime Air (KG/LYM),Dornier 328JET (J328),N394DC,10A
1021,05/25/2021,3790,Denver / Denver (DEN/KDEN),Minneapolis / St Paul (MSP/KMSP),680,18:39:00,21:06:00,01:27:00,Southwest Airlines (WN/SWA),Boeing 737-700 (B737),N716SW,5B
1020,05/25/2021,3771,Long Beach / Daugherty Fld (LGB/KLGB),Denver / Denver (DEN/KDEN),854,12:55:00,15:43:00,01:48:00,Southwest Airlines (WN/SWA),Boeing 737-800 (B738),N8685B,27F
1019,05/25/2021,3771,Las Vegas / McCarran (LAS/KLAS),Long Beach / Daugherty Fld (LGB/KLGB),231,11:06:00,11:49:00,00:43:00,Southwest Airlines (WN/SWA),Boeing 737-800 (B738),N8685B,30A
1018,05/25/2021,4220,Minneapolis / St Paul (MSP/KMSP),Las Vegas / McCarran (LAS/KLAS),1299,07:04:00,08:07:00,03:03:00,Southwest Airlines (WN/SWA),Boeing 737-800 (B738),N8508W,28F
1017,01/12/2021,1385,Phoenix / Sky Harbor (PHX/KPHX),Minneapolis / St Paul (MSP/KMSP),1276,12:35:00,16:26:00,02:51:00,Delta Air Lines (DL/DAL),Boeing 757-300 (B753),N588NW,40F
1016,01/12/2021,1456,Minneapolis / St Paul (MSP/KMSP),Phoenix / Sky Harbor (PHX/KPHX),1276,06:36:00,08:16:00,02:40:00,Delta Air Lines (DL/DAL),Boeing 767-300 (B763),N1200K,39G
1015,01/09/2021,4295,Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW),La Crosse / La Crosse Municipal (LSE/KLSE),416,16:09:00,16:19:00,01:10:00,SkyWest Airlines (OO/SKW),Bombardier CRJ-200 (CRJ2),N921EV,12A
1014,01/09/2021,5813,Chicago / O'Hare (ORD/KORD),Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW),234,10:50:00,12:43:00,00:53:00,Republic Airlines (YX/RPA),Embraer ERJ-175 (E175),N230JQ,8A
1013,01/09/2021,3929,La Crosse / La Crosse Municipal (LSE/KLSE),Chicago / O'Hare (ORD/KORD),215,06:35:00,07:23:00,00:48:00,Envoy Air (MQ/ENY),Embraer ERJ-145 (E145),N618AE,17A
1012,01/08/2021,1084,Atlanta / Hartsfield-Jackson (ATL/KATL),Minneapolis / St Paul (MSP/KMSP),908,20:26:00,21:28:00,02:02:00,Delta Air Lines (DL/DAL),Boeing 757-200 (B752),N6704Z,42A
1011,01/08/2021,1549,Orlando / Orlando (MCO/KMCO),Atlanta / Hartsfield-Jackson (ATL/KATL),405,17:16:00,18:23:00,01:07:00,Delta Air Lines (DL/DAL),Boeing 757-300 (B753),N585NW,37F
1010,01/08/2021,2157,Minneapolis / St Paul (MSP/KMSP),Orlando / Orlando (MCO/KMCO),1313,10:32:00,14:25:00,02:53:00,Delta Air Lines (DL/DAL),Boeing 767-300 (B763),N192DN,38C
1009,01/02/2021,5029,Minneapolis / St Paul (MSP/KMSP),Rochester / Rochester (RST/KRST),76,16:06:00,16:23:00,00:17:00,Endeavor Air (9E/EDV),Bombardier CRJ-700 (CRJ7),N371CA,14A
1008,01/02/2021,4731,Chicago / O'Hare (ORD/KORD),Minneapolis / St Paul (MSP/KMSP),334,10:46:00,11:46:00,01:00:00,Endeavor Air (9E/EDV),Bombardier CRJ-900 (CRJ9),N302PQ,20A
1007,01/02/2021,5128,Rochester / Rochester (RST/KRST),Chicago / O'Hare (ORD/KORD),268,06:55:00,07:49:00,00:54:00,SkyWest Airlines (OO/SKW),Bombardier CRJ-200 (CRJ2),N965SW,3A
1006,12/31/2020,3936,Chicago / O'Hare (ORD/KORD),La Crosse / La Crosse Municipal (LSE/KLSE),215,13:08:00,13:55:00,00:47:00,Envoy Air (MQ/ENY),Embraer ERJ-145 (E145),N932AE,17A
1005,12/31/2020,3686,Sioux City / Sioux Gateway (SUX/KSUX),Chicago / O'Hare (ORD/KORD),435,10:31:00,11:36:00,01:05:00,Envoy Air (MQ/ENY),Embraer ERJ-145 (E145),N668HH,18A
